Company Name,Domain,Industry,company_description,keywords
TechCrunch,techcrunch.com,software development,"TechCrunch, founded on June 11, 2005, is a news website dedicated to the tech scene. We provide breaking technology news, opinions, and analysis on tech companies from around the world. From publicly traded tech companies to emerging startups and venture capital funding rounds, TechCrunch is your number one guide for all things startups.",software development
Harnham,harnham.com,staffing and recruiting,"Harnham provides specialist Data and AI recruitment and staffing services, along with bespoke training solutions, across multiple industry verticals, operating in the UK, the USA and EU - contact us today to discuss your requirements: info@harnham.com Our recruitment and talent teams cover all aspects of the data and AI pipeline, from collection to consumption, across multiple data roles and functions. Whether you need full-time staff, contract talent, specialized training, Data-qualified gradua",staffing and recruiting
Cypress HCM,cypresshcm.com,staffing and recruiting,"At Cypress, we deliver top talent to your doorstep. Our nationwide reach and industry expertise help us precision-match candidates, saving you time and frustration. Our experts specialize in placing highly qualified employees, ensuring a perfect fit that not only boosts individual career paths but also enhances organizational productivity.",staffing and recruiting
Engadget,engadget.com,online audio and video media,"Technology isn't just about gadgets. It's the car with no driver, printing human organs and leisurely flights into space. It's the future and we're here to tell you all about it. Our web, mobile, and Flipboard presence reaches over 20 million unique readers per month. We are the Official Online News Source for CES, the world's largest trade show for consumer electronics held each year in Las Vegas in January, as well as the proud home of the 2014 Best of CES Awards.",online audio and video media
Barrington James,barringtonjames.com,staffing and recruiting,"The global Life Sciences industry is dominant in todays world. Drug development processes are progressing faster than ever before. The need for vaccines, treatments and medical devices continues to grow at an exponential rate to ensure treatment for disease reaches those it needs to. That means for Barrington James, we grow at the same speed. With 14 global offices specialising in niche areas of the Life Science industry, we are ready to support our growing group of clients in sourcing the most,",staffing and recruiting
Understanding Recruitment,understandingrecruitment.com,staffing and recruiting,"The Understanding Recruitment Universe Understanding Recruitment is the go-to destination for technology recruitment with headquarters in St. Albans, England. Specialising in Biotechnology, Artificial Intelligence, and Web3, our team of over 90 recruiters is adept in navigating the dynamic landscapes of Blockchain & Cryptocurrency, Java, JavaScript, Python, Rust, Golang, .NET, DevOps, Product Management, and other tech roles within the Software Development Lifecycle. As your total talent solutio",staffing and recruiting
techolution,techolution.com,it services and it consulting,"At Techolution, we build custom AI solutions that produce revolutionary outcomes for enterprises worldwide. Specializing in ""AI Done Right,"" we leverage our expertise and proprietary IP to transform operations and help achieve business goals efficiently. What We Do As your one-stop-shop engineering firm, Techolution guides you from ideation to ROI realization. We ensure real-world AI success by minimizing R&D risks for our clients with our innovative fixed-bid pricing model. Our Unique Value Pro",it services and it consulting
Storm3,storm3.com,staffing and recruiting,"Storm3 are specialists in US HealthTech recruitment, connecting organisations with the talent to drive their mission. Launched in 2020 to service the HealthTech industry, Storm3 connect senior talent with businesses at the forefront of healthcare technology innovation. Storm3 focus on placing talent into start up and scale ups across the United States. The pandemic has seen the HealthTech industry skyrocket with the uptake of new digital technologies, big data analytics and sophisticated AI. Fro",staffing and recruiting
Neuroscience News,neurosciencenews.com,newspaper publishing,"Neuroscience News is a website focused on neuroscience related content. Research news related to neuroscience, neurology, psychology, mental health, artificial intelligence, brain research, neurogenetics, AI and other cognitive science fields is featured. A free neuroscience social network at NeuroscienceNews.com allows science students, neuroscience professors, patients, psychologists and science enthusiasts to interact in forums, support groups, science article comments and earn rewards for th",newspaper publishing
edX,discover.edx.org,e-learning providers,"edX is the online learning platform that readies you, your teams, and your organization for every career moment. With thousands of job-relevant courses and programs at every price point, edX helps you build the skills to stay on top of your industry  and the momentum to meet your most ambitious goals. Start learning from hundreds of exceptional partners  including Harvard, MIT, Amazon, and Google  and get instant access to career resources at edX.org.",e-learning providers
