company_name,domain,company_type_primary,hq_country,hq_state,employee_count,size_bucket,clinical_stage,pipeline_indication,primary_modality,modality_confirmed,modality_source,subsidiary_flag,subsidiary_parent,company_status,enrichment_status,enrichment_failed_check,company_score,salesforce_engagement_status,existing_customer,funding_event,ind_or_stage_advance,leadership_hire,conference_presence,recent_publication,contacts_total,contacts_cadence_ready,contacts_with_email,contacts_disqualified
4D Molecular Therapeutics,4dmoleculartherapeutics.com,biopharma,US,CA,300,201-500,Phase 2,,AAV / Gene Therapy,true,https://4dmoleculartherapeutics.com/pipeline/ — AAV gene therapy platform,false,,active,enrichment_complete,,6,,,,,,,,6,4,6,1
Abeona Therapeutics Inc,abeonatherapeutics.com,biopharma,US,NY,300,201-500,Commercial/Approved,,AAV / Gene Therapy,true,"Abeona Therapeutics AAV9 ABO-101/ABO-102 Sanfilippo (Transpher A/B) + AAV-based AIM Vector platform, multiple Phase 1/2 (MPS Society gene therapy table)",false,,active,enrichment_complete,,5,,,,,,,,1,0,0,0
Adverum Biotechnologies,adverum.com,biopharma,US,CA,134,51-200,Phase 2,,AAV / Gene Therapy,true,https://adverum.com/our-technology/ — proprietary AAV.7m8 vector,false,,active,enrichment_complete,,9,,,,"Phase 3 study announced for broad nAMD population, 2026-03-19 (Ixo-vec / ADVM-022 AAV.7m8-aflibercept) [DelveInsight pipeline 2026]",,,,5,1,4,2
Affinia Therapeutics Inc,affiniatx.com,biopharma,US,massachusetts,36,51-200,Phase 1/2,,AAV / Gene Therapy,true,"https://affiniatx.com — AAV gene therapy programs (heart, nervous system)",false,,active,enrichment_complete,,6,,,,,,,,5,1,4,1
Ambulero,ambulero.com,biopharma,US,florida,15,1-10,IND-enabling,,AAV / Gene Therapy,true,Cure.com 2026 CGT companies-to-watch: AMB-201 AAV E-selectin ischemic vascular; AMB-301 IND-enabling 2025-06,false,,active,enrichment_incomplete,,7,,,,,,,,0,0,0,0
Andelyn Biosciences,andelynbio.com,cdmo,US,OH,278,201-500,,,AAV / Gene Therapy,true,AAV CDMO; Nationwide Children's Hospital affiliate per public materials.,false,,active,enrichment_complete,,5,,,,,,,,7,3,7,1
Atsena Therapeutics,atsenatx.com,biopharma,US,north carolina,43,11-50,Phase 2,,AAV / Gene Therapy,true,https://www.atsenatx.com/press-release/atsena-therapeutics-announces-positive-clinical-data-from-part-a-of-phase-i-ii-trial-evaluating-atsn-201-gene-therapy-to-treat-x-linked-retinoschis/ — ATSN-201 LIGHTHOUSE Phase 1/2,false,,active,enrichment_complete,,6,,,,,,,,3,0,3,0
"Avirmax, Inc",avirmax.com,cdmo,US,CA,30,11-50,Clinical Research Phase 1,,AAV / Gene Therapy,true,NCT06550011 — Avirmax Biopharma sponsor of ABI-110 AAV2 wAMD Phase 1/2 (clinicaltrials.gov 2026-05),false,,active,enrichment_complete,,5,,,,,,,,3,0,2,0
Beacon Therapeutics,beacontx.com,biopharma,US,FL,100,51-200,Phase 3+,,AAV / Gene Therapy,true,https://www.beacontx.com/aav-gene-therapy/ — engineered AAV capsids for retinal disease,false,,active,enrichment_complete,,5,,,,,,,,0,0,0,0
BridgeBio Gene Therapy LLC,bridgebio.com,biopharma,US,CA,910,501-1000,Phase 3+,,AAV / Gene Therapy,true,https://bridgebio.com/pipeline — BBP-812 systemic AAV for Canavan disease,false,,active,enrichment_incomplete,no_qualifying_contacts,5,,,,,,,,2,0,2,1
Capsida Biotherapeutics,capsida.com,biopharma,US,CA,57,51-200,preclinical,,AAV / Gene Therapy,true,https://capsida.com — engineered AAV capsids for CNS/ocular,false,,active,enrichment_complete,,5,,,,,,,,6,1,6,4
Dyno Therapeutics,dynotx.com,biopharma,US,MA,90,51-200,preclinical,,AAV / Gene Therapy,true,https://www.dynotx.com/gene-delivery — AAV capsid technology platform,false,,active,enrichment_incomplete,,5,,,,,,,,5,3,5,2
ElevateBio,elevate.bio,cdmo,US,MA,700,501-1000,preclinical,,AAV / Gene Therapy,true,Notebook 2026-05-07: multi-modality CDMO; AAV in service line.,false,,active,enrichment_complete,,5,,,,,,,,6,4,5,1
Encoded Therapeutics-RTP,encoded.com,biopharma,US,CA,167,51-200,Phase 1,,AAV / Gene Therapy,true,https://encoded.com/programs/etx101-for-dravet-syndrome/ — AAV capsid ETX101,false,,active,enrichment_complete,,7,,,,,,,,7,2,7,4
Forge Biologics,forgebiologics.com,cdmo,US,OH,428,201-500,Phase 1,,AAV / Gene Therapy,true,Notebook 2026-05-07 + public M&A: Ajinomoto acquired Forge 2024; AAV CDMO.,true,Ajinomoto Bio-Pharma,active,enrichment_complete,,7,,,,,,,,7,3,7,1
Genezen Laboratories,genezenlabs.com,cdmo,US,MA,261,201-500,preclinical,,AAV / Gene Therapy,true,Notebook 2026-05-07: multi-vector CDMO including AAV.,false,,active,enrichment_complete,,5,,,,,,,,4,1,4,0
"Grace Science, LLC",gracescience.com,biopharma,US,CA,10,1-10,Phase 1,,AAV / Gene Therapy,true,https://www.gracescience.com/programs,false,,active,enrichment_complete,,7,,,,,,,,1,0,1,0
Jaguar Gene Therapy,jaguargenetherapy.com,biopharma,US,illinois,48,51-200,Phase 1,,AAV / Gene Therapy,true,https://jaguargenetherapy.com — AAV gene therapy platform,false,,active,enrichment_complete,,7,,,,,,,,9,0,7,5
Kriya,kriyatherapeutics.com,biopharma,US,NC,100,51-200,Phase 1,,AAV / Gene Therapy,true,https://kriyatherapeutics.com/news/ — AAV-FGF21 KRIYA-497,false,,active,enrichment_complete,,7,,,,,,,,8,4,8,1
Lacerta Therapeutics Inc,lacertatx.com,biopharma,US,florida,13,51-200,preclinical,,AAV / Gene Therapy,true,AdisInsight 800053958 — AAV gene therapies for CNS/lysosomal storage,false,,active,enrichment_incomplete,,5,,,,,,,,5,0,5,5
Lexeo Therapeutics,lexeotx.com,biopharma,US,NY,100,51-200,Phase 1/2,,AAV / Gene Therapy,true,https://www.lexeotx.com/post/lexeo-therapeutics-announces-positive-initial-data-from-ongoing-phase-1-2-clinical-trial-of-aav-based-gene-therapy-candidate-lx1001-in-patients-with-alzheimers-disease/ — LX1001 AAV-APOE2 Phase 1/2,false,,active,enrichment_complete,,6,,,,,,,,2,0,1,0
"Locanabio, Inc",locanabio.com,biopharma,US,CA,7,51-200,preclinical,,AAV / Gene Therapy,true,"Notebook 2026-05-07: RNA-targeting platform via snRNA/Cas13d/PUF, not AAV.",false,,active,enrichment_incomplete,modality_confirmed,0,,,,,,,,2,0,2,2
Neurogene Inc,neurogene.com,biopharma,US,NY,100,51-200,Phase 1/2,,AAV / Gene Therapy,true,NGN-401 AAV gene therapy for Rett (FierceBiotech 2024),false,,active,enrichment_complete,,6,,,,,,,,5,3,5,0
Ocugen Inc,ocugen.com,biopharma,US,PA,100,51-200,Clinical Research Phase 3,,AAV / Gene Therapy,true,"Ocugen OCU400 AAV5 RORA gene therapy for retinitis pigmentosa, Phase 3 NCT06388200 (Apr 2025 industry summary)",false,,active,enrichment_complete,,5,,,,,,,,1,0,0,0
Odylia Therapeutics,odylia.org,biopharma,US,georgia,11,1-10,preclinical,,AAV / Gene Therapy,true,https://odylia.org/rd-services-overview/ — exclusive rights to Anc80 AAV vector,false,,active,enrichment_complete,,5,,,,,,,,2,0,2,1
Opus Genetics,opusgtx.com,biopharma,US,michigan,35,11-50,Phase 1,,AAV / Gene Therapy,true,https://ir.opusgtx.com/press-releases/detail/520/ — OPGx-BEST1 AAV gene therapy,false,,active,enrichment_incomplete,,10,,,,"Phase 1b/2a clinical data reported, 2026-02 (OPGx-BEST1 BEST1 retinal AAV at Macula Society Annual Meeting)",,,,2,1,2,0
Passage Bio Inc,passagebio.com,biopharma,US,PA,100,51-200,Phase 1,,AAV / Gene Therapy,true,https://www.passagebio.com — PBFT-02 AAV gene therapy for FTD-GRN; CNS rare disease portfolio,false,,active,enrichment_complete,,7,,,,,,,,4,0,4,0
