Company Name,AAV Segment,Ellie Note,HQ Country,HQ State,HQ City,Revenue Range,Employee Range,Publicly Traded,Subsidiary Status,Funding Stage,Last Funding Date,Last Funding Amount USD,Total Known Funding USD,Number of Funding Rounds,Stock Ticker,Ultimate Parent,Industry,Website,LinkedIn URL,Company Focus,Key Competitors,Strategic Notes
"Spirovant Sciences, Inc.",gene_therapy,,united states,pennsylvania,philadelphia,1M-5M,11-50,private,independent,grant,2019-01-24,4500000,4725000,2,,,Research and Development in Biotechnology (except Nanobiotechnology),https://www.spirovant.com/,https://www.linkedin.com/company/spirovant,,,
Solid Biosciences Inc.,gene_therapy,,,massachusetts,cambridge,10M-25M,51-200,public-domestic,independent,post-ipo equity,2025-02-18,200000000,810300000,10,xnas:sldb,solid biosciences,Biological Product (except Diagnostic) Manufacturing,https://www.solidbio.com,https://www.linkedin.com/company/solid-biosciences,"Advance gene therapy candidates for rare neuromuscular and cardiac diseases, with a primary focus on Duchenne muscular dystrophy (Duchenne), Friedreich's ataxia (FA), Catecholaminergic polymorphic ventricular tachycardia (CPVT), and TNNT2-mediated dilated cardiomyopathy (TNNT2 DCM).

Build an innovation platform for high-value genetic medicines by integrating internal capabilities (vector core, animal models, expression cassettes, novel capsids, regulatory expertise) and external collaborations.

Patient-centric approach, prioritizing therapies for underserved populations with severe, often fatal, diseases.","Sarepta Therapeutics (ELEVIDYS®)
Genethon
REGENXBIO Inc.
Lexeo Therapeutics
Neurocrine Biosciences (with Voyager Therapeutics)
Design Therapeutics
Larimar Therapeutics
PTC Therapeutics
Biogen (SKYCLARYS®)
Armgo Pharmaceuticals
Cardurion Pharmaceuticals","## Competition
Solid faces significant competition from established and emerging companies developing gene therapies and other treatments for Duchenne, CPVT, FA, and related indications. Many competitors have greater financial, development, manufacturing, and marketing resources. The competitive landscape is rapidly evolving, with new approvals and clinical trial results potentially impacting Solid’s market prospects and clinical strategies.

## Market saturation
Solid Biosciences operates in highly competitive segments of the biopharmaceutical market, facing competition from larger, better-funded pharmaceutical and biotechnology companies, as well as academic institutions and research organizations. The company’s commercial opportunity could be reduced or eliminated if competitors develop and commercialize products that are first to market, safer, more effective, or less expensive. Recent approvals and ongoing trials by competitors (e.g., Sarepta’s ELEVIDYS for Duchenne) increase competitive pressure and may require Solid to alter its regulatory or clinical trial strategies.

## Customer adoption
Solid’s commercial success depends on market acceptance of gene therapy by physicians, patients, and payors. Factors affecting adoption include efficacy, safety, cost, convenience, and reimbursement. Negative publicity, adverse events, or the availability of alternative therapies could limit adoption. The company also faces challenges in educating the medical community and payors about the benefits of its novel therapies.

## Regulatory / privacy
Solid must comply with evolving global data privacy and security regulations, including HIPAA, GDPR, and various state laws. Non-compliance or breaches could result in significant fines, litigation, and reputational damage. The company’s operations involve handling sensitive patient and clinical trial data, increasing exposure to privacy-related risks. Ongoing changes in privacy laws and cross-border data transfer rules add complexity and compliance costs."
Adverum Biotechnologies,,,,CA,,,,,,,,,,,,,,adverum.com,,,,
Editas Medicine,,,,,,25M-75M,201-500,,,,,,,,,,Pharmaceutical Preparation Manufacturing,editasmedicine.com,https://www.linkedin.com/company/editas-medicine,,,
Igc Group Sa/Nv,,,,,,1M-5M,11-50,,,No,,,,,,,"Jewelry, Luggage, and Leather Goods Stores",igcgroup.com,https://www.linkedin.com/company/igc-group,,,
Astellas Gene Therapies,gene_therapy,Astellas subsidiary; trials had safety holds,US,texas,dallas,5M-10M,51-200,public-domestic,subsidiary,post-ipo equity,2025-05-28,200000000,743000000,9,xnas:tsha,astellas pharma,Pharmaceutical Preparation Manufacturing,https://www.tayshagtx.com,https://www.linkedin.com/company/taysha-gene-therapies,,,
"YAP Therapeutics, Inc.",,,,texas,houston,500K-1M,1-10,,,,,,,,,,Research and Development in Biotechnology (except Nanobiotechnology),https://yaptx.com/,https://www.linkedin.com/company/yaptx,,,
Encoded Therapeutics,gene_therapy,Regulatory element engineering platform,US,california,south san francisco,25M-75M,51-200,private,independent,series d,2020-07-22,135000000,239100000,3,,encoded therapeutics,Research and Development in Biotechnology (except Nanobiotechnology),https://www.encoded.com/,https://www.linkedin.com/company/encodedtherapeutics,,,
Encoded Therapeutics-RTP,,,,CA,,,,,,,,,,,,,,encoded.com,,,,
Ultragenyx Pharmaceutical Inc.,,,,CA,,,,,,,,,,,,,,ultragenyx.com,,,,
