name,domain,city,state,country,client_verdict,client_note,salesforce_engagement_status,prep_rationale,prep_verify_note,source
Aldevron,aldevron.com,Fargo,North Dakota,United States,,,"CONFLICT — logged SF activity 23d ago (within 180-day window, Playbook 5.3). Suppress/flag.","Aldevron is a CDMO with explicit mRNA production, LNP encapsulation, and GMP wet-lab ops in North America; now part of Danaher (large_diversified_flag set), but the mRNA program and lab operations are real and confirmed — verdict IN.","Aldevron operates multiple confirmed wet-lab, process-development, and cGMP manufacturing sites across North America (Fargo ND x2, Madison WI, Waltham MA), all explicitly described on the facilities page as supporting R&D, process development, and/or cGMP manufacture of mRNA and other biologics.",apollo
Allele Biotechnology & Pharmaceuticals Inc.,allelebiotech.com,San Diego,California,United States,REVIEW,"Allele uses mRNA as a tool to reprogram cells. Its synthetic mRNA platform generates hiPSCs without random DNA integration or virus-based elements. It is not developing mRNA therapeutics (no IVT-produced mRNA drug substance, no LNP-encapsulated mRNA drug produ",Net new — no Salesforce match. Eligible for outreach.,"mRNA use is primarily as a reprogramming tool for iPSC manufacturing rather than a standalone mRNA therapeutic program per se; however, 'custom mRNA technologies' as an offered service and the GMP wet-lab footprint support IN — confidence is MED pending confirmation of a genuine mRNA therapeutic or mRNA-as-product program.","Allele Biotechnology operates a cGMP iPSC manufacturing and CDMO facility at 6404 Nancy Ridge Dr, San Diego, CA 92121, with explicit references to cGMP manufacturing, GMP iPSC production, QC, and mRNA reprogramming technologies—qualifying the site as gmp_mfg (and encompassing rnd_wetlab/process_dev ",apollo
AmplifyBio,amplify-bio.com,West Jefferson,Ohio,United States,DROP,"AmplifyBio is no longer operating. The legal entity itself has been renamed: it now appears on the docket as AB Liquidation, LLC (formerly AmplifyBio, LLC). The South San Francisco site was already closed before the filing",Clear — last SF activity 461d ago (older than 180 days).,"AmplifyBio is a US-based CDMO/CRO with a real physical manufacturing facility and an explicit 'mrna development' keyword, qualifying under C1+C2; confidence held at MED because the mRNA capability comes from an unverified keyword field and the service page confirmation of IVT/LNP lines is absent — flagged needs_evidence accordingly.","AmplifyBio's own website lists 'mRNA Development, Safety, and Manufacturing' and 'Advanced Therapy Manufacturing' with a dedicated Manufacturing Facility as CDMO services, confirming wet-lab and GMP manufacturing operations in North America. However, no specific street address or city/state is prese",apollo
Amptiv Biosciences,amptivbio.com,Cleveland,Ohio,United States,,,Net new — no Salesforce match. Eligible for outreach.,"Amptiv Biosciences is a small-stage mRNA therapeutics platform developer (Stanford invention origin) with explicit wet-lab synthesis and IVT operations; C1 and C2 both pass cleanly, no N* exclusions apply; geography is unresolved but modality/ops verdict is IN pending location confirmation.","The company's homepage lists a Cleveland, OH address and explicitly states they 'integrate wet-lab synthesis, functional assays, and AI-guided optimization,' indicating a wet-lab research site at that location.",apollo
Cartesian Therapeutics,cartesiantherapeutics.com,Frederick,Maryland,United States,,,Clear — last SF activity 1693d ago (older than 180 days).,"Cartesian Therapeutics is a clinical-stage mRNA cell therapy developer (mRNA CAR-T for autoimmune disease) with stated cGMP manufacturing operations — C1 and C2 both pass, no N* exclusions apply.","The careers page explicitly states that 'discovery, cGMP manufacturing, and clinical operations all happen under one roof' at the Frederick, MD location (7495 New Horizon Way, Frederick, MD 21703), confirming a GMP manufacturing site at that address.",apollo
Curia,curiaglobal.com,Albany,New York,United States,,,"CONFLICT — logged SF activity 3d ago (within 180-day window, Playbook 5.3). Suppress/flag.","CDMO with explicit mRNA manufacturing and LNP formulation services listed in keywords, headquartered in Albany NY with broad NA facility network — qualifies IN per CDMO rule requiring explicit mRNA/LNP line.","Curia's facilities page lists multiple North American sites with explicit lab, development, and GMP manufacturing functions, including drug product manufacturing sites in Albuquerque NM and Camarillo CA, and small molecule discovery/development sites in Albany NY, Rensselaer NY, and Buffalo NY — all",apollo
Exelead,exeleadbiopharma.com,Indianapolis,Indiana,United States,,,Net new — no Salesforce match. Eligible for outreach.,Explicit LNP/mRNA CDMO in Indianapolis (NA) under MilliporeSigma/Merck KGaA; mRNA/LNP manufacturing line is unambiguous; large_diversified_flag set due to Merck KGaA parentage — may be existing account or handled via direct sales channel.,Exelead's website confirms a GMP manufacturing and fill & finish Center of Excellence in Indianapolis with 30+ years of GMP experience and explicit mRNA/LNP CDMO services; no street address is provided in the fetched content but the Indianapolis site is described as an in-house GMP manufacturing fac,apollo
Factor Bioscience Inc.,factor.bio,Cambridge,Massachusetts,United States,,,Net new — no Salesforce match. Eligible for outreach.,Factor Bioscience credibly qualifies on C1 and C2 — mRNA is named as a core modality with GMP wet-lab operations in Cambridge MA — but the small headcount (13 employees) and broad keyword list raise a flag that 'mRNA therapies' may refer to platform/tool use inside cell engineering rather than a standalone mRNA therapeutic program; confidence held at MED pending pipeline verification.,"Factor Bioscience lists a Cambridge, MA address where a job posting explicitly describes a 'lab-based position' involving mammalian cell culture, RNA/DNA delivery, and gene-editing assays, confirming wet-lab activity at that address.",apollo
FORMUMAX SCIENTIFIC INC.,liposomeexpert.com,Sunnyvale,California,United States,,,Net new — no Salesforce match. Eligible for outreach.,"FormuMax is a Sunnyvale-based LNP/liposome CRO with physical wet labs and an explicit 'mRNA LNPs' keyword; qualifies as an LNP-delivery/formulation CRO with NA footprint, but mRNA-specific engagement depth is inferred from keywords rather than confirmed program detail — confidence held at MED pending verification.","FormuMax Scientific is described as located in Silicon Valley, northern California, and offers contract formulation services including mRNA LNPs and liposome-based drug delivery — indicating a wet-lab/process development facility. The company provides custom formulation preparation and formulation c",apollo
"FUJIFILM Pharmaceuticals U.S.A., Inc.",fujifilmpharma.com,Cambridge,Massachusetts,United States,,,Net new — no Salesforce match. Eligible for outreach.,"FUJIFILM Pharmaceuticals U.S.A. is a Greater Boston-based CDMO/developer with explicit mRNA synthesis, LNP formulation, ionizable lipid, and GMP manufacturing capabilities; it is a subsidiary of large diversified FUJIFILM so large_diversified_flag is set, but the mRNA/LNP program and NA lab ops clearly qualify it as IN.","The company's homepage confirms GMP manufacturing (aseptic fill & finish, batch release testing) and mRNA process development/scale-up at a 'purpose-built facility', indicating a real lab/GMP site in North America; however, no street address is provided in the fetched content, leaving the physical l",apollo
