Company Name,Domain,Industry,company_description,keywords
Open Robotics,openrobotics.org,Media / publishing / information,Media / publishing / information. Founded 2012. Revenue n/a.,Media / publishing / information
RBW Consulting,rbwconsulting.com,Business / IT services,Business / IT services. Founded 2007. Revenue 1.1M.,Business / IT services
TechCrunch,techcrunch.com,Media / publishing / information,Media / publishing / information. Founded 2005. Revenue 525M.,Media / publishing / information
Mammoth Biosciences,mammoth.bio,Scientific R&D / professional org,Scientific R&D / professional org. Founded 2017. Revenue 42.2M.,Scientific R&D / professional org
Wyss Institute at Harvard University,wyss.harvard.edu,Academic research institute,Academic research institute. Founded 2009. Revenue n/a.,Academic research institute
Candela Medical,candelamedical.com,Medical device / equipment,Medical device / equipment. Founded 1970. Revenue 520M.,Medical device / equipment
Locus Robotics,locusrobotics.com,Engineering services,Engineering services. Founded 2014. Revenue 110M.,Engineering services
Biotechnology Innovation Organization,bio.org,Scientific R&D / professional org,Scientific R&D / professional org. Founded 1993. Revenue 103.2M.,Scientific R&D / professional org
WIRED,wired.com,Media / publishing / information,Media / publishing / information. Founded 1993. Revenue 30.7M.,Media / publishing / information
Hai Robotics,hairobotics.com,Industrial machinery / robotics,Industrial machinery / robotics. Founded 2016. Revenue 15M.,Industrial machinery / robotics
Genetic Engineering & Biotechnology News,genengnews.com,Media / publishing / information,Media / publishing / information. Founded 1981. Revenue 99.9M.,Media / publishing / information
Y Combinator,ycombinator.com,Scientific R&D / professional org,Scientific R&D / professional org. Founded 2005. Revenue 300M.,Scientific R&D / professional org
Miso Robotics,misorobotics.com,Industrial machinery / robotics,Industrial machinery / robotics. Founded 2016. Revenue 384K.,Industrial machinery / robotics
DEKA Research & Development,dekaresearch.com,Medical / precision manufacturing,Medical / precision manufacturing. Founded 1982. Revenue 45M.,Medical / precision manufacturing
IEEE Robotics and Automation Society,ieee-ras.org,Scientific R&D / professional org,Scientific R&D / professional org. Founded 1987. Revenue 5.9M.,Scientific R&D / professional org
DeepLearning.AI,deeplearning.ai,Education,Education. Founded 2017. Revenue 8.6M.,Education
Gecko Robotics,geckorobotics.com,Industrial machinery / robotics,Industrial machinery / robotics. Founded 2013. Revenue 43.8M.,Industrial machinery / robotics
Onward Robotics,onwardrobotics.com,Robotics / industrial automation,Robotics / industrial automation. Founded 2012. Revenue 51.2M.,Robotics / industrial automation
Ghost Robotics,ghostrobotics.io,Transportation / defense equipment,Transportation / defense equipment. Founded 2015. Revenue 4M.,Transportation / defense equipment
Neuroscience News,neurosciencenews.com,Media / publishing / information,Media / publishing / information. Founded 2001. Revenue 3.5M.,Media / publishing / information
"Click Therapeutics, Inc.",clicktherapeutics.com,Biotech / pharmaceutical,Biotech / pharmaceutical. Founded 2012. Revenue 13.5M.,Biotech / pharmaceutical
Modern Healthcare,modernhealthcare.com,Media / publishing / information,Media / publishing / information. Founded 1976. Revenue 13.9M.,Media / publishing / information
Path Robotics,path-robotics.com,Industrial machinery / robotics,Industrial machinery / robotics. Founded 2014. Revenue 79.2M.,Industrial machinery / robotics
Carbon Robotics,carbonrobotics.com,Industrial machinery / robotics,Industrial machinery / robotics. Founded 2018. Revenue 165.9M.,Industrial machinery / robotics
techolution,techolution.com,IT / software services,IT / software services. Founded 2015. Revenue 10.0M.,IT / software services
